timestamp;projectId;userId;sourceId;time;timeReceived;offsetReference;provider;latitude;longitude;altitude;accuracy;speed;bearing
2023-07-28 13:49:35.711;CONNECT;f09c03f1-617d-4c2b-b093-4936f75092fa;fe40b745-2e55-406e-8559-98c712ebcb57;2023-07-13 08:37:07.023;2023-07-28 13:49:18.781;-563291002;GPS;41.206798613758956;0;0;5;0;0
2023-08-25 09:55:54.977;CONNECT;be165095-f13c-4c3d-b0e5-6a481324e244;bdfea911-ad16-4e57-b05d-55ca477558e4;2023-07-13 08:37:07.023;2023-08-25 09:55:31.041;-563291002;GPS;41.206798613758956;0;0;5;0;0
2023-07-28 13:49:35.711;CONNECT;f09c03f1-617d-4c2b-b093-4936f75092fa;fe40b745-2e55-406e-8559-98c712ebcb57;2023-07-17 07:50:37.075;2023-07-28 13:49:18.765;-563291002;NETWORK;41.20678588042562;-3.64e-05;;603;;
2023-08-24 12:28:33.496;CONNECT;f09c03f1-617d-4c2b-b093-4936f75092fa;0422d736-dd74-4840-bed1-402e15f8be91;2023-07-17 07:54:43.5;2023-08-24 12:28:12.449;414499638;GPS;39.3646441181902;0;0;5;0;0
2023-07-28 13:49:35.711;CONNECT;f09c03f1-617d-4c2b-b093-4936f75092fa;fe40b745-2e55-406e-8559-98c712ebcb57;2023-07-28 13:49:19.004;2023-07-28 13:49:19.87;-563291002;NETWORK;41.20678588042562;-3.64e-05;;603;;
2023-08-25 09:55:54.977;CONNECT;be165095-f13c-4c3d-b0e5-6a481324e244;bdfea911-ad16-4e57-b05d-55ca477558e4;2023-07-28 13:49:19.004;2023-08-25 09:55:31.023;-563291002;NETWORK;41.20678588042562;-3.64e-05;;603;;
